01,03
01,04
02,03
02,04
02,15
02,16
02,17
03,03
03,04
03,14
03,15
03,16
03,17
04,14
04,15
04,16
04,17
05,14
05,15
05,16
05,17
06,19
07,19
07,20
08,19
08,20
11,02
12,02
15,07
15,08
15,09
15,14
16,06
16,07
16,08
16,09
16,14
16,15
17,07
17,08
17,09
17,29
18,07
18,14
18,15
19,13
19,14
19,15
19,16
19,28
19,30
20,12
20,13
20,14
20,15
20,16
21,13
21,14
21,15
21,16
23,05
23,13
24,12
26,10
26,23
26,24
26,25
27,23
27,24
27,25
27,26
27,27
27,28
27,29
27,30
28,11
28,22
28,23
28,24
28,25
28,26
28,27
28,28
28,29
29,14
29,22
29,23
29,24
29,25
29,26
29,27
29,28
29,29
30,01
30,02
30,03
30,09
30,10
30,14
30,15
30,22
30,23
30,24
30,25
30,26
30,27
30,28
30,29
